timestamp,eventname,sourceip,sourcelocation,sourcecity,sourcecountry,destinationip,destinationlocation,destinationcity,destinationcountry,destinationport,destinationservice,volume,severity,category,detectionsource,blocked
2025-11-25T17:43:53.477Z,"XSS Attack Detected",151.116.52.217,"-26.2041,28.0473","Johannesburg","South Africa",200.200.6.1,"-35.2809,149.13","Canberra","Australia",23,Telnet,35,high,"Web Gateway Threats",Email Gateway,false
2025-11-26T00:34:28.924Z,"Generic BOT Net Activity",80.124.3.50,"30.5728,104.0668","Chengdu","China",200.200.7.5,"-42.8821,147.3272","Hobart","Australia",6379,Redis,68,medium,"Botnet Activity",Email Gateway,true
2025-11-23T18:01:22.073Z,"C2 Server Communication",163.189.107.160,"13.7563,100.5018","Bangkok","Thailand",200.200.3.1,"-37.8136,144.9631","Melbourne","Australia",8443,HTTPS-Alt,88,medium,"Botnet Activity",Web Gateway,true
2025-11-26T01:37:05.169Z,"Mirai Botnet Traffic",110.104.200.190,"32.6546,51.668","Isfahan","Iran",200.200.5.5,"-31.9505,115.8605","Perth","Australia",1521,Oracle,76,low,"Botnet Activity",Web Gateway,false
2025-11-24T14:14:00.556Z,"Bot Infection Attempt",136.139.23.6,"30.0444,31.2357","Cairo","Egypt",200.200.7.3,"-42.8821,147.3272","Hobart","Australia",1433,MSSQL,19,high,"Botnet Activity",IDS,false
2025-11-27T14:27:44.715Z,"Banner Grabbing Activity",152.37.240.205,"51.5074,-0.1278","London","UK",200.200.3.3,"-37.8136,144.9631","Melbourne","Australia",5900,VNC,58,medium,"Scanning Activity",IDS,true
2025-11-23T05:15:31.084Z,"Zero-Day Exploit Attempt",238.88.61.208,"48.8566,2.3522","Paris","France",200.200.5.4,"-31.9505,115.8605","Perth","Australia",3389,RDP,74,high,"Infiltration Attempts",Email Gateway,false
2025-11-22T18:34:33.190Z,"Zero-Day Exploit Attempt",200.183.178.210,"25.7617,-80.1918","Miami","USA",200.200.5.2,"-31.9505,115.8605","Perth","Australia",3389,RDP,68,low,"Infiltration Attempts",Email Gateway,true
2025-11-26T14:06:07.692Z,"Privilege Escalation Detected",88.107.239.136,"-23.5505,-46.6333","São Paulo","Brazil",200.200.2.4,"-33.8688,151.2093","Sydney","Australia",53,DNS,24,low,"Infiltration Attempts",EDR,false
2025-11-23T12:02:12.765Z,"Mirai Botnet Traffic",171.180.55.195,"37.7749,-122.4194","San Francisco","USA",200.200.1.2,"-34.9285,138.6007","Adelaide","Australia",8443,HTTPS-Alt,54,low,"Botnet Activity",IDS,false
2025-11-27T05:46:53.297Z,"Ransomware Download Blocked",201.4.101.96,"49.2827,-123.1207","Vancouver","Canada",200.200.7.4,"-42.8821,147.3272","Hobart","Australia",5432,PostgreSQL,58,medium,"Antivirus Malware",SIEM,true
2025-11-27T12:01:50.909Z,"Malicious URL Blocked",41.116.50.56,"30.5728,104.0668","Chengdu","China",200.200.6.1,"-35.2809,149.13","Canberra","Australia",53,DNS,98,critical,"Web Gateway Threats",Web Gateway,false
2025-11-22T12:37:27.571Z,"Lateral Movement Blocked",209.66.37.90,"49.2827,-123.1207","Vancouver","Canada",200.200.3.2,"-37.8136,144.9631","Melbourne","Australia",8080,HTTP-Proxy,68,critical,"Infiltration Attempts",Firewall,false
2025-11-22T08:46:00.589Z,"Port Scan Detected",156.248.158.86,"29.7604,-95.3698","Houston","USA",200.200.2.3,"-33.8688,151.2093","Sydney","Australia",25,SMTP,22,medium,"Scanning Activity",SIEM,true
2025-11-24T17:39:49.178Z,"Malware Distribution Site Blocked",218.171.88.224,"50.1109,8.6821","Frankfurt","Germany",200.200.2.1,"-33.8688,151.2093","Sydney","Australia",27017,MongoDB,50,low,"Web Gateway Threats",Splunk,true
2025-11-23T20:21:19.137Z,"Keylogger Prevented",146.50.172.21,"-6.2088,106.8456","Jakarta","Indonesia",200.200.2.1,"-33.8688,151.2093","Sydney","Australia",22,SSH,14,critical,"Antivirus Malware",Email Gateway,false
2025-11-24T07:15:51.394Z,"Mirai Botnet Traffic",52.252.80.101,"52.52,13.405","Berlin","Germany",200.200.3.3,"-37.8136,144.9631","Melbourne","Australia",445,SMB,68,low,"Botnet Activity",SIEM,false
2025-11-23T02:06:43.622Z,"CEO Fraud Email",64.23.109.73,"22.5431,114.0579","Shenzhen","China",jennifer.martin@company.com,"-12.4634,130.8456","Darwin","Australia",995,POP3S,78,medium,"Phishing Emails",Firewall,true
2025-11-28T18:45:15.353Z,"Spear Phishing Campaign",27.204.186.37,"49.2827,-123.1207","Vancouver","Canada",emily.davis@company.com,"-31.9505,115.8605","Perth","Australia",995,POP3S,85,critical,"Phishing Emails",IDS,false
2025-11-28T02:34:42.477Z,"Malicious URL Blocked",24.203.52.158,"59.9311,30.3609","St Petersburg","Russia",200.200.4.1,"-27.4698,153.0251","Brisbane","Australia",27017,MongoDB,92,low,"Web Gateway Threats",Splunk,true
2025-11-24T16:04:59.362Z,"Malicious URL Blocked",222.75.101.82,"47.6062,-122.3321","Seattle","USA",200.200.3.3,"-37.8136,144.9631","Melbourne","Australia",143,IMAP,30,critical,"Web Gateway Threats",Email Gateway,false
2025-11-22T00:28:45.154Z,"DDoS Bot Command Detected",29.160.220.96,"23.1291,113.2644","Guangzhou","China",200.200.2.3,"-33.8688,151.2093","Sydney","Australia",8080,HTTP-Proxy,63,medium,"Botnet Activity",Splunk,true
2025-11-28T09:50:25.093Z,"Remote Code Execution Try",148.47.16.30,"52.2297,21.0122","Warsaw","Poland",200.200.6.2,"-35.2809,149.13","Canberra","Australia",22,SSH,22,low,"Infiltration Attempts",Email Gateway,false
2025-11-27T00:42:31.928Z,"Service Enumeration Attempt",8.9.103.195,"30.5728,104.0668","Chengdu","China",200.200.6.2,"-35.2809,149.13","Canberra","Australia",23,Telnet,11,high,"Scanning Activity",Firewall,false
2025-11-26T09:37:42.121Z,"Malware Distribution Site Blocked",55.183.96.173,"59.9311,30.3609","St Petersburg","Russia",200.200.5.1,"-31.9505,115.8605","Perth","Australia",995,POP3S,69,high,"Web Gateway Threats",SIEM,false
2025-11-25T21:37:44.964Z,"Zero-Day Exploit Attempt",11.18.63.40,"55.7558,37.6173","Moscow","Russia",200.200.4.2,"-27.4698,153.0251","Brisbane","Australia",8443,HTTPS-Alt,49,low,"Infiltration Attempts",Email Gateway,true
2025-11-23T19:00:01.135Z,"Bot Infection Attempt",139.127.61.42,"49.2827,-123.1207","Vancouver","Canada",200.200.6.2,"-35.2809,149.13","Canberra","Australia",80,HTTP,80,medium,"Botnet Activity",Splunk,true
